generation,fitness,distribution
0,"[2, 1, 1, 2, 0]","[0.8251190605457172, 0.4699745702844842, 0.8231448002829975, 0.9394309610331586, 0.6670904721652747, 0.7660316770010089, 0, 0.47972040104147795, 0.8020157740554718, 0, 0.9335688199258884, 0.6044085761776106, 1, 0, 0, 0.4425898899690075, 0.08195550217312875, 0.2974385833895775, 0.5125613373704996, 0.4905087285752564, 0.38564487321994767, 0.30429298167829366, 0.10560921966690684, 0, 0.8408116607322647, 1]"
1,"[2, 0, 0, 2, 1]","[0.7657255938146167, 0.6008748479454816, 0.9932098305092006, 0.040331333073439724, 0.10782361857871348, 0.8187974195372878, 0.6582502476619966, 0.043874804856115834, 1, 0.49638208222685654, 0.8887417911494166, 0.04516307714020107, 0.3684375759992291, 0, 0.8570252225071591, 0.04611633969588591, 0.08696369697371686, 0.05710925786844079, 1, 0.1615078097835123, 0.22293628886443118, 0.8517407780235141, 0.08612102801396693, 0, 0.21743661373772238, 0.24312501969397426]"
2,"[1, 1, 2, 1, 0]","[0.7657255938146167, 0.6008748479454816, 0.9932098305092006, 0.040331333073439724, 0.10782361857871348, 0.8187974195372878, 0.6582502476619966, 0.043874804856115834, 1, 0.49638208222685654, 0.8887417911494166, 0.04516307714020107, 0.3684375759992291, 0, 0.8570252225071591, 0.04611633969588591, 0.08696369697371686, 0.05710925786844079, 1, 0.1615078097835123, 0.22293628886443118, 0.8517407780235141, 0.08612102801396693, 0, 0.21743661373772238, 0.24312501969397426]"
3,"[1, 2, 1, 0, 2]","[0.2521792213041487, 1, 0.44226179503140917, 0, 0.9695487082372437, 0.9595934505618205, 0.40620201238017384, 1, 1, 0, 0.3485309767896396, 0.47469422549718, 1, 1, 0.5561169260710331, 0.6699376776515386, 0.9117356687329441, 0.2974385833895775, 0, 0, 0.21702650272995216, 0.3442242308837957, 0.008166477662175708, 0, 1, 0.6111013690975065]"
4,"[2, 0, 0, 1, 2]","[0.5542242485071629, 1, 0.2775274620679812, 0.7757644320091591, 0, 0.6284102753754987, 0.23820304808395465, 0.21215144734949964, 1, 0.8646280643861969, 0.11051187914711336, 0.7289145420933402, 0, 0, 0.8570252225071591, 0.04611633969588591, 0.2024935189429714, 0, 1, 0.44265412004577687, 0, 0.48995481455992307, 0.39317710991707433, 0, 0.14052452628737622, 0.4030563165659722]"
5,"[2, 0, 2, 2, 0]","[0.3148462496522203, 0.4305777016141137, 0.2775274620679812, 0.46282281884297694, 0.1554006430044449, 0.6284102753754987, 0.23820304808395465, 0.2987291846424699, 1, 0.8616484609882404, 0.24823921201514865, 0.7489182039959513, 0, 0, 0.8570252225071591, 0.04611633969588591, 0.2024935189429714, 0.05710925786844079, 1, 0.44265412004577687, 0, 0.48995481455992307, 0.028018628087556063, 0, 1, 0.6111013690975065]"
6,"[2, 2, 2, 0, 0]","[0, 0.3492527969695365, 1, 0.6341630041531183, 0.8597225681809469, 0.9126540923960039, 0, 0.09877871025688578, 1, 0.2398534269677819, 0.5248506299885027, 0.783652904356916, 1, 0, 0.04764779881858838, 0.3775393203531283, 0.41492485307107196, 0.2974385833895775, 0.5125613373704996, 0.014919654550475614, 0.38564487321994767, 0.3442242308837957, 0, 0.32383317483420915, 0.5145114360235177, 0.8538469292647619]"
7,"[0, 1, 2, 2, 2]","[0, 0.3492527969695365, 1, 0.6341630041531183, 0.8597225681809469, 0.9126540923960039, 0, 0.09877871025688578, 1, 0.2398534269677819, 0.5248506299885027, 0.783652904356916, 1, 0, 0.04764779881858838, 0.3775393203531283, 0.41492485307107196, 0.2974385833895775, 0.5125613373704996, 0.014919654550475614, 0.38564487321994767, 0.3442242308837957, 0, 0.32383317483420915, 0.5145114360235177, 0.8538469292647619]"
8,"[1, 2, 0, 2, 0]","[0.5888000254591504, 0.7588386450904498, 0.48379926147329755, 0.41337872668278786, 0, 0.8562346495533895, 1, 0.4036548763412309, 0.7438917270008044, 0, 0.8887417911494166, 0, 0.9922670449506699, 0.2755152429660299, 0.9619988877109031, 0.04611633969588591, 0, 0.5295862565419772, 0, 0.27787794944449207, 0.6870833928143504, 0.06696482236572399, 0.46282320440009705, 0.32383317483420915, 0.2765060420616938, 0.7668086264186151]"
9,"[0, 0, 2, 2, 2]","[0, 0.9253501192657244, 0.4949372398242997, 0.9761755259719772, 1, 1, 0, 0.4036548763412309, 0.6873118281841263, 0.31577098614604804, 0.8887417911494166, 0.4183188847040994, 0.8646069262115694, 0.2755152429660299, 1, 0.04611633969588591, 0, 0.21375376913120514, 0, 0.27787794944449207, 0.6870833928143504, 0.10954849867943994, 0.3258840039439417, 0.4849097795492383, 0.2765060420616938, 0.761409037766286]"
